# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
24,4.053208,98.888889,-30.399059,-7.5,-0.05,25.009867,0.524718,-0.524014
24.1,4.053087,98.884259,-30.398154,-7.5,-0.050208,25.009868,0.524778,-0.524085
24.2,4.052967,98.87963,-30.39725,-7.5,-0.050417,25.009869,0.524837,-0.524155
24.3,4.052846,98.875,-30.396347,-7.5,-0.050625,25.009871,0.524896,-0.524224
24.4,4.052726,98.87037,-30.395444,-7.5,-0.050833,25.009872,0.524953,-0.524292
24.5,4.052606,98.865741,-30.394543,-7.5,-0.051042,25.009873,0.52501,-0.524359
24.6,4.052486,98.861111,-30.393643,-7.5,-0.05125,25.009875,0.525065,-0.524425
24.7,4.052366,98.856481,-30.392743,-7.5,-0.051458,25.009876,0.52512,-0.524489
24.8,4.052246,98.851852,-30.391845,-7.5,-0.051667,25.009877,0.525174,-0.524553
24.9,4.052126,98.847222,-30.390947,-7.5,-0.051875,25.009878,0.525227,-0.524616
25,4.052007,98.842593,-30.39005,-7.5,-0.052083,25.009879,0.525279,-0.524678
25.1,4.051887,98.837963,-30.389154,-7.5,-0.052292,25.00988,0.525331,-0.524739
25.2,4.051768,98.833333,-30.388258,-7.5,-0.0525,25.009882,0.525381,-0.524798
25.3,4.051648,98.828704,-30.387364,-7.5,-0.052708,25.009883,0.525431,-0.524857
25.4,4.051529,98.824074,-30.38647,-7.5,-0.052917,25.009884,0.52548,-0.524915
25.5,4.05141,98.819444,-30.385577,-7.5,-0.053125,25.009885,0.525529,-0.524973
25.6,4.051291,98.814815,-30.384684,-7.5,-0.053333,25.009886,0.525576,-0.525029
25.7,4.051172,98.810185,-30.383793,-7.5,-0.053542,25.009887,0.525623,-0.525084
25.8,4.051054,98.805556,-30.382902,-7.5,-0.05375,25.009888,0.525669,-0.525139
25.9,4.050935,98.800926,-30.382011,-7.5,-0.053958,25.009889,0.525715,-0.525192
26,4.050816,98.796296,-30.381122,-7.5,-0.054167,25.00989,0.52576,-0.525245
26.1,4.050698,98.791667,-30.380233,-7.5,-0.054375,25.009891,0.525804,-0.525297
26.2,4.050579,98.787037,-30.379345,-7.5,-0.054583,25.009892,0.525847,-0.525349
26.3,4.050461,98.782407,-30.378457,-7.5,-0.054792,25.009893,0.52589,-0.525399
26.4,4.050343,98.777778,-30.37757,-7.5,-0.055,25.009894,0.525933,-0.525449
26.5,4.050224,98.773148,-30.376684,-7.5,-0.055208,25.009895,0.525974,-0.525498
26.6,4.050106,98.768519,-30.375798,-7.5,-0.055417,25.009896,0.526015,-0.525546
26.7,4.049988,98.763889,-30.374913,-7.5,-0.055625,25.009897,0.526056,-0.525593
26.8,4.04987,98.759259,-30.374028,-7.5,-0.055833,25.009897,0.526096,-0.52564
26.9,4.049753,98.75463,-30.373144,-7.5,-0.056042,25.009898,0.526135,-0.525686
27,4.049635,98.75,-30.37226,-7.5,-0.05625,25.009899,0.526174,-0.525732
27.1,4.049517,98.74537,-30.371378,-7.5,-0.056458,25.0099,0.526212,-0.525776
27.2,4.049399,98.740741,-30.370495,-7.5,-0.056667,25.009901,0.526249,-0.52582
27.3,4.049282,98.736111,-30.369613,-7.5,-0.056875,25.009902,0.526286,-0.525864
27.4,4.049164,98.731481,-30.368732,-7.5,-0.057083,25.009902,0.526323,-0.525907
27.5,4.049047,98.726852,-30.367851,-7.5,-0.057292,25.009903,0.526359,-0.525949
27.6,4.048929,98.722222,-30.366971,-7.5,-0.0575,25.009904,0.526395,-0.52599
27.7,4.048812,98.717593,-30.366091,-7.5,-0.057708,25.009905,0.52643,-0.526031
27.8,4.048695,98.712963,-30.365212,-7.5,-0.057917,25.009906,0.526464,-0.526072
27.9,4.048578,98.708333,-30.364333,-7.5,-0.058125,25.009906,0.526498,-0.526111
28,4.048461,98.703704,-30.363455,-7.5,-0.058333,25.009907,0.526532,-0.52615
28.1,4.048344,98.699074,-30.362577,-7.5,-0.058542,25.009908,0.526565,-0.526189
28.2,4.048227,98.694444,-30.361699,-7.5,-0.05875,25.009909,0.526598,-0.526227
28.3,4.04811,98.689815,-30.360822,-7.5,-0.058958,25.009909,0.52663,-0.526265
28.4,4.047993,98.685185,-30.359946,-7.5,-0.059167,25.00991,0.526662,-0.526302
